X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18
Lionel Messi,93,RW,Rare,103K,4,4,M \ L,85,92,91,95,38,65,"170cm | 5'7""
                                                                              Messi  (72kg)",7177,466,2273
Cristiano Ronaldo,92,ST,Rare,279K,5,4,H \ L,89,93,81,89,35,77,"187cm | 6'2""
                                                                              CR7  (83kg)",15014,464,2258
Kevin De Bruyne,91,CAM,Rare,66.5K,4,5,H \ H,76,86,93,88,64,78,"181cm | 5'11""
                                                                              Unique  (70kg)",4128,485,2337
Robert Lewandowski,91,ST,Rare,60.5K,4,4,H \ M,78,91,78,86,43,82,"184cm | 6'0""
                                                                              Unique  (80kg)",2064,458,2232
Neymar Jr,91,LW,Rare,229K,5,5,H \ M,91,85,86,94,36,59,"175cm | 5'9""
                                                                              Neymar  (68kg)",17347,451,2209
Jan Oblak,91,GK,Rare,60K,1,3,M \ M,87,92,78,90,50,90,"188cm | 6'2""
                                                                              Unique  (87kg)",1398,487,1044
Virgil van Dijk,90,CB,Rare,62.5K,2,3,M \ M,76,60,71,72,91,86,"193cm | 6'4""
                                                                              Unique  (92kg)",4475,456,2144
Mohamed Salah,90,RW,Rare,67K,4,3,H \ M,93,86,81,90,45,75,"175cm | 5'9""
                                                                              Salah  (71kg)",4649,470,2237
Sadio Mané,90,LW,Rare,54.5K,4,4,H \ M,94,85,80,90,44,76,"175cm | 5'9""
                                                                              Unique  (69kg)",6456,469,2231
Alisson,90,GK,Rare,48K,1,3,M \ M,86,88,85,89,52,91,"191cm | 6'3""
                                                                              Unique  (91kg)",1790,491,1015
Kylian Mbappé,90,ST,Rare,307K,5,4,H \ L,96,86,78,91,39,76,"178cm | 5'10""
                                                                              Unique  (73kg)",13376,466,2189
ter Stegen,90,GK,Rare,49.75K,1,4,M \ M,88,85,88,90,43,88,"187cm | 6'2""
                                                                              Unique  (85kg)",1839,482,1073
Sergio Agüero,89,ST,Rare,39K,4,4,H \ M,78,90,77,88,33,73,"173cm | 5'8""
                                                                              Unique  (70kg)",2293,439,2150
Sergio Ramos,89,CB,Rare,40.25K,3,3,H \ M,71,70,76,74,88,85,"184cm | 6'0""
                                                                              Unique  (82kg)",2702,464,2300
Manuel Neuer,89,GK,Rare,35K,1,4,M \ M,87,87,91,89,56,86,"193cm | 6'4""
                                                                              Unique  (92kg)",1394,496,1145
Karim Benzema,89,CF,Rare,39.25K,4,4,M \ L,74,85,81,87,40,76,"185cm | 6'1""
                                                                              Average  (81kg)",826,443,2160
Casemiro,89,CDM,Rare,38.75K,2,3,H \ H,65,73,76,73,86,91,"185cm | 6'1""
                                                                              Unique  (84kg)",885,464,2237
Thibaut Courtois,89,GK,Rare,35K,1,3,M \ M,84,89,74,88,46,85,"199cm | 6'6""
                                                                              Courtois  (96kg)",1295,466,971
Harry Kane,88,ST,Rare,31.5K,3,4,H \ H,68,91,80,81,47,83,"188cm | 6'2""
                                                                              Unique  (89kg)",604,450,2209
Raheem Sterling,88,LW,Rare,31K,4,3,H \ M,93,81,79,90,45,67,"170cm | 5'7""
                                                                              Unique  (69kg)",2433,455,2128
Ederson,88,GK,Rare,30K,1,3,M \ M,86,82,93,88,64,86,"188cm | 6'2""
                                                                              Unique  (86kg)",1147,499,1169
N'Golo Kanté,88,CDM,Rare,36K,2,3,M \ H,77,66,76,81,86,82,"168cm | 5'6""
                                                                              Unique  (70kg)",10254,468,2200
Joshua Kimmich,88,CDM,Rare,30K,3,4,H \ M,71,72,86,84,81,79,"176cm | 5'9""
                                                                              Lean  (73kg)",1805,473,2294
Toni Kroos,88,CM,Rare,28.5K,3,5,M \ M,54,81,91,81,71,69,"183cm | 6'0""
                                                                              Average  (76kg)",235,447,2187
Eden Hazard,88,LW,Rare,28.5K,4,4,H \ M,88,82,83,92,35,66,"175cm | 5'9""
                                                                              Unique  (74kg)",3099,446,2150
Paulo Dybala,88,CF,Rare,27K,4,3,M \ M,85,85,84,91,43,63,"177cm | 5'10""
                                                                              Unique  (75kg)",2623,451,2212
Samir Handanovic,88,GK,Rare,27.75K,1,3,M \ M,88,85,73,89,53,89,"193cm | 6'4""
                                                                              Unique  (92kg)",309,477,962
Kalidou Koulibaly,88,CB,Rare,28K,2,3,M \ H,75,28,55,69,89,86,"187cm | 6'2""
                                                                              Unique  (89kg)",1181,402,1773
